"","x"
"Whitelee  Eaglesham Moor (Part 1) Turbine",140
"Clyde Wind Farm (North and Central) Turbine",95
"Griffin Turbine",68
"Harestanes Turbine",68
"Arecleoch Turbine",60
"Clyde South Turbine",56
"Hadyard Hill Turbine",52
"Crystal Rig II Turbine",51
"Fallago Rig Turbine",48
"Beinn an Tuirc Turbine",46
"Black Law 1 (Construction Phase 1) Turbine",42
"Farr Windfarm Turbine",40
"Whitelee Phase II Extension Turbine",39
"Braes O' Doune Turbine",36
"Whitelee Phase I Extension Turbine",36
"Windy Standard Turbine",36
"Gordonbush Turbine",35
"Cruach Mhor Turbine",35
"Dun Law Extension Turbine",35
"Novar Turbine",34
"Berryburn Turbine",29
"Paul's Hill Turbine",28
"Mark Hill Turbine",28
"Hagshaw Hill Turbine",26
"Dun Law Turbine",26
"Camster Turbine",25
"Mid Hill 1 Turbine",25
"Bowbeat Turbine",24
"An Suidhe Turbine",23
"Rothes (Cairn Uish) Turbine",22
"Black Hill Turbine",22
"Drone Hill Turbine",22
"Baillie Wind farm - Bardnaheigh Farm Turbine",21
"Causeymire Turbine",21
"Hill of Towie Turbine",21
"Fairburn Estate Turbine",20
"Glens of Foudland Turbine",20
"Carraig Gheal (Loch Awe) Turbine",20
"Hagshaw Hill Extension Turbine",20
"Hare Hill Turbine",20
"Crystal Rig I Turbine",20
"Achany Estate Turbine",19
"Kilbraur (Strathbrora) (Community Share) Turbine",19
"Rosehall Turbine",19
"Beinn an Tuirc Extension Turbine",19
"Longpark Turbine",19
"Edinbane Turbine",18
"Rothes II (Resubmission) Turbine",18
"Green Knowes Turbine",18
"Carscreugh Renewable Energy Park Turbine",18
"Beinn Tharsuinn Turbine",17
"Lochluichart (Spinny Turners) Turbine",17
"Millennium (Glenmoriston) Turbine",16
"Novar Extension Turbine",16
"Drumderg Turbine",16
"Aikengall Turbine",16
"Minsca Farm Turbine",16
"Wind Electricity Generator",15
"Buolfruich Turbine",15
"Tangy Turbine",15
"Earlsburn (Community Share) Turbine",15
"Artfield Fell Turbine",15
"Dalswinton  Pennyland Moor Turbine",15
"Beinn Ghlas Turbine",14
"Calliachar (Resubmission) Turbine",14
"Kelburn Turbine",14
"Wether Hill Turbine",14
"Burnfoot Hill Turbine",13
"Calder Water Community Windfarm Turbine",13
"Lochelbank Turbine",12
"Meikle Carewe (Resubmission) Turbine",12
"Allt Dearg Community Wind Farmers LLP Turbine",12
"Ardrossan Turbine",12
"Black Law 1 (Construction Phase 2) Turbine",12
"West Browncastle Turbine",12
"Toddleburn Turbine",12
"Glenkerie Turbine",11
"North Rhins Turbine",11
"Ben Aketil (Community Share) Turbine",10
"Ardkinglass/Clachan Flats Turbine",9
"St John's Hill Turbine",9
"Deucheran Hill Turbine",9
"Crystal Rig IIa Turbine",9
"Little Raith Turbine",9
"Kilbraur Extension (Community Share) Turbine",8
"Kildrummy Turbine",8
"Ark Hill Turbine",8
"Craigengelt Hill Turbine",8
"Earlseat Turbine",8
"Boyndie Airfield (Community Share) Turbine",7
"Dummuie Turbine",7
"Tullo Turbine",7
"Tangy Extension Turbine",7
"Pates Hill Turbine",7
"Balmurrie Fell (Artfield Fell Extension) Turbine",7
"Pentland Road (incorporating Beinn Mholach) Turbine",6
"Lochluichart (Spinny Turners) Extension Turbine",6
"Millennium (Glenmoriston) Extension 2 Turbine",6
"Middleton Turbine",6
"(Other)",358
